HEI Name,Campus
Cagayan State University,Gonzaga
Cagayan State University,Lallo
Cagayan State University,Lasam
Cagayan State University,Piat
Cagayan State University,Sanchez Mira
Cagayan State University,main (Andrews)
Cagayan de Oro College,Iligan Campus
Camarines Norte State College,Abano Campus
Camarines Norte State College,Entienza Campus
Camarines Norte State College,Labo Campus
Camarines Norte State College,Main
Camarines Norte State College,Mercedes Campus
Camarines Norte State College,Panganiban Campus
Canossa College,"San Pablo City, Inc."
Capiz State University,Burias Campus
Capiz State University,Dayao
Capiz State University,Dumarao Campus
Capiz State University,Main
Capiz State University,Pilar Campus
Capiz State University,Poblacion Mambusao
Capiz State University,Pontevedra Campus
Capiz State University,Sigma Campus
Capiz State University,Tapaz Campus
Caraga State University,Cabadbaran Campus
Caraga State University,Main Campus
Carlos Hilado Memorial State University,Alijis
Carlos Hilado Memorial State University,Bacolod Campus
Carlos Hilado Memorial State University,Main
Carlos Hilado Memorial State University - College of Fisheries,Binalbagan
Catanduanes State University,Main
Catanduanes State University,Panganiban
Cavite State University,Bacoor
Cavite State University,Carmona
Cavite State University,Cavite City
Cavite State University,General Trias
Cavite State University,Imus
Cavite State University,Naic
Cavite State University,Rosario
Cavite State University,Silang Campus
Cavite State University,Tanza Campus
Cavite State University,Trece Martires City
Central Bicol State University of Agriculture,Calabanga
Central Bicol State University of Agriculture,Main
Central Bicol State University of Agriculture,Pasacao
Central Bicol State University of Agriculture,Sipocot
Central Luzon College of Science and Technology,Olongapo City
Central Philippine State University,Candoni
Central Philippine State University,Cauayan Campus
Central Philippine State University,Hinigaran Campus
Central Philippine State University,Ilog Campus
Central Philippine State University,Main Campus
Central Philippine State University,Moises Padilla Campus
Central Philippine State University,San Carlos Campus
Central Philippine State University,Sipalay Campus
Central Philippine State University,Victorias City Campus
Central Philippine State University-Hinoba,an Campus
Centro Escolar University,Makati
Centro Escolar University,Malolos City
Centro Escolar University,Manila
Christ the King College,Calbayog City
Colegio De San Juan De Letran,Manaoag
Colegio De San Sebastian,Sablayan
Colegio San Agustin,Bacolod
Colegio de San Jose,Jaro
Colegio de San Juan de Letran,Abucay
Colegio de Sebastian,Pampanga
College for Research and Technology,Cabanatuan City
College of Arts and Sciences of Asia and the Pacific,Bacolod City
College of St. John,Roxas
College of Subic Montesorri,Dinalupihan
College of Subic Montessori,Subic Bay
Columban College,Olongapo City
Columban College,"Sta. Cruz, Zambales"
Computer Arts and Technological College,Ligao City
Computer Arts and Technological College,Polangui Campus
Computer Communication Development Institute,Legazpi City
Computer Communication Development Institute,Naga
Computer Communication Development Institute,Sorsogon
Cotabato Foundation College of Science and Technology,Datu Montawal Campus
Cotabato Foundation College of Science and Technology,Pikit Campus
DON BOSCO TECHNICAL COLLEGE,"CEBU, INC."
Data Center College of the Philippines,Vigan City
Data Center College of the Philippines of Bangued,Abra
Datamex College of Saint Adeline,Fairview
Datamex College of Saint Adeline,Parañaque
Datamex College of Saint Adeline,Valenzuela
Davao Oriental State University,Banaybanay Extension
Davao Oriental State University,Cateel Extension
Davao Oriental State University,Mati City
Davao Oriental State University,San Isidro Extension
Davao de Oro State College,Compostela
Davao de Oro State College,Maragusan Branch
Davao de Oro State College,Montevista Branch
Davao de Oro State College,New Bataan Branch
De La Salle,Araneta University
De La Salle,College of Saint Benilde
"De La Salle College of Saint Benilde, Inc.",Antipolo
De La Salle University,Dasmariñas
De La Salle University,Manila
Don Mariano Marcos Memorial State University,Mid La Union
Don Mariano Marcos Memorial State University,Open University
Don Mariano Marcos Memorial State University,South La Union
Don Mariano Marcos Memorial State University-North La Union,Main Campus
Doña Remedios Trinidad,"Romualdez Educational Foundation, Inc."
Dr. Carlos S. Lanting College,Dr. Ruby Lanting Casaul Educational Foundation
Dr. Gloria D. Lacson Foundation Colleges,Cabanatuan City
Dr. Gloria D. Lacson Foundation Colleges,Nueva Ecija
Eastern Samar State University,Guiuan Campus
Eastern Samar State University,Maydolong Campus
Eastern Samar State University,Salcedo Campus
Eastern Samar State University-Can,Avid Campus
Eastern Visayas State University,Burauen Campus
Eastern Visayas State University,Carigara Campus
Eastern Visayas State University,Dulag Campus
Eastern Visayas State University,Ormoc Campus
Eastern Visayas State University,Tanauan Campus
Emilio Aguinaldo Educational Corporation,Emilio Aguinaldo College
Erhard Science College,Bulacan
Eulogio Amang Rodriguez Institute of Science and Technology,Cavite
F.L. Vargas College,Abulug Campus
FEU,Dr. Nicanor Reyes Medical Foundation
FL Vargas College,Tuguegarao
Far Eastern College,"Silang, Inc."
Far Eastern University,Makati
Ferndale College,"Zamboanga Peninsula, Inc."
Governor Mariano E. Villafuerte Community College,Garchitorena
Governor Mariano E. Villafuerte Community College,Libmanan
Governor Mariano E. Villafuerte Community College,Siruma
Guimaras State University,Baterna Campus
Guimaras State University,Main
Guimaras State University,Mosqueda
Holy Cross College,Nueva Ecija
Holy Cross College,Pampanga
"ICCT Colleges Foundation, Inc.",Antipolo
"ICCT Colleges Foundation, Inc.",Binangonan
"ICCT Colleges Foundation, Inc.",Cainta
"ICCT Colleges Foundation, Inc.",San Mateo
"ICCT Colleges Foundation, Inc.",Taytay
ICT,ED Institute of Science and Technology Inc.
IETI College,Alabang
IETI College of Science and Technology,Marikina
IMMACULATE CONCEPTION I,"COLLEGE OF ARTS AND TECHNOLOGY, INC."
ISHRM School System,"Bacoor, Inc."
Ifugao State University,Aguinaldo
Ifugao State University,Hapao
Ifugao State University,Lagawe Campus
Ifugao State University,Main
Ifugao State University,Potia
Ifugao State University,Tinoc
Ilocos Sur Polytechnic State College,Candon
Ilocos Sur Polytechnic State College,Cervantes
Ilocos Sur Polytechnic State College-College of Arts and Sciences,Tagudin
Ilocos Sur Polytechnic State College-College of Engineering and Technology,Santiago
Ilocos Sur Polytechnic State College-College of Fisheries and Marine Sciences,Narvacan
Iloilo Science and Technology University,Barotac Nuevo Campus
Iloilo Science and Technology University,Dumangas Campus
Iloilo Science and Technology University,Leon Campus
Iloilo Science and Technology University,Main
Iloilo Science and Technology University,Miagao Campus
Iloilo State College of Fisheries Science and Technology,Barotac Nuevo Campus
Iloilo State College of Fisheries Science and Technology,Dingle Campus
Iloilo State College of Fisheries Science and Technology,Dumangas Campus
Iloilo State College of Fisheries Science and Technology,Main
Iloilo State College of Fisheries Science and Technology,San Enrique Campus
Immaculate Conception College,Albay
Immaculate Heart of Mary College,Parañaque
Informatics College,Manila
Informatics College,Northgate
Inter,"Global College Foundation, Inc."
Interface Computer College,Iloilo
Interworld College of science and Technology Foundation,Tarlac
Interworld Colleges Foundation,Paniqui
Isabela State University,Angadanan Campus
Isabela State University,Cabagan
Isabela State University,Cauayan Campus
Isabela State University,Ilagan Campus
Isabela State University,Jones Campus
Isabela State University,Main (Echague)
Isabela State University,Palanan Campus
Isabela State University,Roxas Campus
Isabela State University,San Mariano Campus
Isabela State University,San Mateo Campus
Jamiatu Marawi Al,Islamia Foundation
Jamiatul Philippine Al,Islamia
Jesus Reigns Christian College,"Amadeo Foundation, Inc."
John B. Lacson Colleges Foundation,Bacolod
John B. Lacson Foundation Maritime University,Arevalo
John B. Lacson Foundation Maritime University,Molo
Jose Rizal Memorial State University,Dipolog
Jose Rizal Memorial State University,Katipunan Campus
Jose Rizal Memorial State University,Main
Jose Rizal Memorial State University,Siocon
Jose Rizal Memorial State University,Tampilisan
Josefina H. Cerilles State College,Canuto M.S. Enerio College of Arts and Trades
Josefina H. Cerilles State College,Dimataling
Josefina H. Cerilles State College,Dumingag
Josefina H. Cerilles State College,Guipos
Josefina H. Cerilles State College,Pagadian
Josefina H. Cerilles State College,San Pablo
Kalinga State University,Dagupan
Kalinga State University,Main
Kalinga State University,Rizal
King's College of the Philippines,Bambang
King's College of the Philippines,Benguet
LAPU,LAPU CITY COLLEGE
LPU,"St. Cabrini School of Health Sciences, Inc."
La Consolacion College,Bacolod
La Consolacion College,Caloocan
La Consolacion College,Daet
La Consolacion College,Iriga City
La Consolacion College,Isabela
La Consolacion College,Manila
La Consolacion College,Novaliches
La Consolacion College,Valenzuela
La Verdad Christian College,Caloocan
Laguna State Polytechnic University,Los Baños
Laguna State Polytechnic University,San Pablo City
Laguna State Polytechnic University,Siniloan
Luna Goco Colleges Inc.,Calapan
Lyceum Northwestern University,Urdaneta Campus
Lyceum of Western Luzon,Zambales
Lyceum of the East,Aurora
Lyceum of the Philippines,Cavite
Lyceum of the Philippines,Davao
Lyceum of the Philippines,Laguna
Lyceum of the Philippines University,Batangas
MINDANAO AUTONOMOUS COLLEGE FOUNDATION,MALUSO
Manuel S. Enverga Institute Foundation,San Antonio
Manuel S. Enverga University Foundation,"Candelaria, Inc."
Mapua University,Makati
Mapua University,Manila
Mariano Marcos State University,College of Aquatic Sciences and Applied Technology
Mariano Marcos State University,Main
Mariano Marcos State University-College of Agriculture and Forestry,Dingras
Mariano Marcos State University-College of Industrial Technology,Laoag City
Mariano Marcos State University-College of Teacher Education,Laoag City
Marinduque State University,Gasan
Marinduque State University,Main
Marinduque State University,Sta. Cruz
Marinduque State University,Torrijos
Mary the Queen College,Pampanga
Mater Dei College,Silay City
Medina College,Ipil
Medina College,Pagadian
Metro,Dagupan Colleges
Metro Business College,Pasay
Mindanao State University,Buug College
Mindanao State University,General Santos
Mindanao State University,Iligan Institute of Technology
Mindanao State University,Lanao National College of Arts and Trades
Mindanao State University,Maguindanao
Mindanao State University,"Maigo College of Education, Science and Technology"
Mindanao State University,Main Campus Marawi City
Mindanao State University,Naawan
Mindanao State University,Sultan Naga Dimaporo
Mindanao State University,Sulu Development Technical College
Mindanao State University-Tawi,Tawi College of Technology and Oceanography
Mindoro State University,Bongabong
Mindoro State University,Calapan City
Mindoro State University,Main
Misamis University,Oroquieta City
Mount Carmel College,Baler
Mountain Province State Polytechnic College,Main
Mountain Province State Polytechnic College,Tadian
NEGROS ORIENTAL STATE UNIVERSITY,BAIS I
NEGROS ORIENTAL STATE UNIVERSITY,BAIS II
NEGROS ORIENTAL STATE UNIVERSITY,BAYAWAN
NEGROS ORIENTAL STATE UNIVERSITY,GUIHULNGAN
NEGROS ORIENTAL STATE UNIVERSITY,MABINAY
NEGROS ORIENTAL STATE UNIVERSITY,MAIN
NEGROS ORIENTAL STATE UNIVERSITY,SIATON
NYK,TDG Maritime Academy
National College of Business and Arts,Cubao
National College of Business and Arts,Fairview
National College of Business and Arts,Taytay
New Era University,Baras Campus
New Era University,Lipa Campus
New Era University,Pampanga
North Eastern Mindanao State University,Bislig
North Eastern Mindanao State University,Cagwait
North Eastern Mindanao State University,Cantilan
North Eastern Mindanao State University,Lianga
North Eastern Mindanao State University,Main
North Eastern Mindanao State University,San Miguel
North Eastern Mindanao State University,Tagbina
Northern Iloilo State University,Ajuy Campus
Northern Iloilo State University,Barotac Viejo Campus
Northern Iloilo State University,Batad Campus
Northern Iloilo State University,Concepcion Campus
Northern Iloilo State University,"Estancia, Iloilo"
Northern Iloilo State University,Lemery Campus
Northern Iloilo State University,Sara Campus
Northwest Samar State University,San Jorge Campus
Notre Dame,RVM College of Cotabato
Notre Dame,Siena College of Polomolok
Nueva Ecija University of Science and Technology,Atate
Nueva Ecija University of Science and Technology,Carranglan
Nueva Ecija University of Science and Technology,Fort Magsaysay
Nueva Ecija University of Science and Technology,Main
Nueva Ecija University of Science and Technology,Papaya Campus
Nueva Ecija University of Science and Technology,Peñaranda
Nueva Ecija University of Science and Technology,San Antonio Campus
Nueva Ecija University of Science and Technology,San Isidro Campus
Nueva Ecija University of Science and Technology,San Leonardo
Nueva Ecija University of Science and Technology,Sebani Estate Agricultural College
Nueva Ecija University of Science and Technology,Sumacab Campus
Nueva Ecija University of Science and Technology,Talavera
Nueva Vizcaya State University,Bambang
Nueva Vizcaya State University,Main (Bayombong)
OUR LADY OF FATIMA UNIVERSITY,"NUEVA ECIJA, INC. (formerly: Nueva Ecija Doctors' Colleges)"
Occidental Mindoro State College,Lubang
Occidental Mindoro State College,Main
Occidental Mindoro State College,Mamburao
Occidental Mindoro State College,Murtha
Occidental Mindoro State College,Sablayan
Occidental Mindoro State College,San Jose
Olivarez College,Tagaytay
Our Lady of Fatima University,Antipolo
Our Lady of Fatima University,Pampanga
Our Lady of Fatima University,Quezon City
Our Lady of Fatima University,Valenzuela
Our Lady of the Pillar College,Cauayan
Our Lady of the Pillar College,Cauayan San Manuel Branch
PAMPANGA STATE UNIVERSITY,Apalit
PAMPANGA STATE UNIVERSITY,Lubao
PAMPANGA STATE UNIVERSITY,Porac
PAMPANGA STATE UNIVERSITY,Sto.Tomas
PHILIPPINE STATE COLLEGE OF AERONAUTICS,MACTAN AIR BASE
PHINMA,Upang College Urdaneta
PIMSAT Colleges,Dagupan
PIMSAT Colleges,San Carlos City
PIMSAT Colleges Inc.,Bacoor
PMI COLLEGES,BOHOL
PMI Colleges,Manila
PMI Colleges,Quezon City
Palawan State University,Araceli
Palawan State University,Balabac
Palawan State University,Bataraza
Palawan State University,Brooke's Point
Palawan State University,Coron
Palawan State University,Cuyo
Palawan State University,Dumaran
Palawan State University,Linapacan
Palawan State University,Main
Palawan State University,Narra
Palawan State University,"New Ibajay, El Nido"
Palawan State University,Quezon
Palawan State University,Rizal
Palawan State University,Roxas
Palawan State University,"San Rafael, Puerto Princesa City"
Palawan State University,San Vicente
Palawan State University,Sofronio Española
Palawan State University,Taytay
Palompon Institute of Technology,Tabango Campus
Pampanga State Univeristy,Candaba
Pampanga State Univeristy,Main
Pampanga State University,Mexico
Pangasinan State University,Alaminos City
Pangasinan State University,Asingan
Pangasinan State University,Bayambang
Pangasinan State University,Binmaley
Pangasinan State University,Infanta
Pangasinan State University,San Carlos City
Pangasinan State University,Sta. Maria
Pangasinan State University,Urdaneta City
Panpacific University North Philippines,Tayug
Panpacific University North Philippines,Urdaneta City
Partido State University,Caramoan Campus
Partido State University,Lagonoy Campus
Partido State University,Main
Partido State University,Sagñay Campus
Partido State University,Salogon Campus
Partido State University,San Jose Campus
Partido State University,Tinambac Campus
Philippine Advent College,Salug
Philippine Engineering and Agro,Industrial College
Philippine Merchant Marine School,Las Piñas
Philippine Merchant Marine School,Manila
Philippine Normal University,Cadiz
Philippine Normal University,Lopez
Philippine Normal University,Main
Philippine Normal University,Mindanao Campus
Philippine Normal University,North Luzon Campus
Philippine Rehabilitation Institute Foundation,Guagua
Philippine School of Business Administration,Manila
Philippine School of Business Administration,Quezon City
Philippine State College of Aeronautics,Fernando Air Base
Philippine State College of Aeronautics,Main
Philippine State College of Aeronautics,Pampanga Extension
Philippine Technological and Marine Sciences,Zamboanga del Sur
Philippine Women`s University Career Development and Continuing Education Center,Bataan
Philippine Women`s University Career Development and Continuing Education Center,Tarlac
Polytechnic University of the Philippines,Alfonso
Polytechnic University of the Philippines,Bansud Campus
Polytechnic University of the Philippines,Biñan
Polytechnic University of the Philippines,Cabiao
Polytechnic University of the Philippines,Calauan
Polytechnic University of the Philippines,"General Luna, Quezon"
Polytechnic University of the Philippines,Lopez
Polytechnic University of the Philippines,Maragondon
Polytechnic University of the Philippines,Mariveles
Polytechnic University of the Philippines,Mulanay
Polytechnic University of the Philippines,Open University
Polytechnic University of the Philippines,Parañaque Campus
Polytechnic University of the Philippines,Pulilan
Polytechnic University of the Philippines,Quezon City Campus
Polytechnic University of the Philippines,Ragay
Polytechnic University of the Philippines,Sablayan Campus
Polytechnic University of the Philippines,San Juan Campus
Polytechnic University of the Philippines,San Pedro
Polytechnic University of the Philippines,"Sta. Maria, Bulacan"
Polytechnic University of the Philippines,Sta. Rosa
Polytechnic University of the Philippines,Sto. Tomas
Polytechnic University of the Philippines,Taguig
Polytechnic University of the Philippines,Unisan
President Ramon Magsaysay State University,Botolan
President Ramon Magsaysay State University,Candelaria
President Ramon Magsaysay State University,Castillejos
President Ramon Magsaysay State University,Main
President Ramon Magsaysay State University,Masinloc
President Ramon Magsaysay State University,San Marcelino
President Ramon Magsaysay State University,Sta. Cruz
Quirino State University,Cabarroguis
Quirino State University,MAIN (DIFFUN)
Quirino State University,Maddela
RC,Al Khwarizmi International College Foundation
RIZWOODS COLLEGES,CEBU CITY CAMPUS
RIZWOODS COLLEGES - LAPU,LAPU CITY CAMPUS
ROGATIONIST SEMINARY COLLEGE,"CEBU, INC."
Ramon Magsaysay Memorial College,Marbel
Rizal Technological University,Pasig
Romblon State University,Cajidiocan
Romblon State University,Calatrava
Romblon State University,Main
Romblon State University,Romblon
Romblon State University,San Agustin
Romblon State University,San Andres
Romblon State University,San Fernando
Romblon State University,San Jose
Romblon State University,Sta. Fe
Romblon State University,Sta. Maria
Roosevelt College,Marikina
Rosales,Wesleyan Bible College
"SALAZAR COLLEGES OF SCIENCE AND INSTITUTE OF TECHNOLOGY, INC.",MADRIDEJOS
ST. CECILIA'S COLLEGE,"CEBU, INC."
STI College,Alabang
STI College,Cagayan de Oro
STI College,Caloocan
STI College,Cotabato
STI College,Cubao
STI College,Gen. Santos
STI College,Global City
STI College,Iligan
STI College,Kalibo
STI College,Las Piñas
STI College,Legazpi
STI College,Malaybalay
STI College,Marikina
STI College,Muñoz EDSA
STI College,Novaliches
STI College,Ormoc
STI College,Puerto Princesa
STI College,San Fernando City
STI College,Surigao
STI College,Taft
STI College,Valencia
STI College,Vigan
STI College,fairview
STI College,Koronadal City
STI College,Sta. Mesa
"STI Education Services Group, Inc.",Calamba
"STI Education Services Group, Inc.",Carmona
"STI Education Services Group, Inc.",San Pablo
"STI Education Services Group, Inc.",Sta. Cruz
"STI Education Services Group, Inc.",Tanay
"STI Education Services Group, Inc.",Ortigas-Cainta
Saint Anthony's College,Antique
St. Ferdinand College,Cabagan Campus
Saint Louis College,City of San Fernando
Saint Michael College,Cantilan
Samar State University,Basey Campus
Samar State University,Mercedes Campus
Samar State University,Paranas Campus
Samson College of Science and Technology,Quezon City
San Beda College,Alabang
San Sebastian College,Recoletos
San Sebastian College,Recoletos de Cavite
San Sebastian College-Recoletos,Canlubang
Santa Cruz Institute,Marinduque
Senator Ninoy Aquino College Foundation,Marawi
Siena College,Tigaon
Sorsogon State University,Bulan Campus
Sorsogon State University,Castilla Campus
Sorsogon State University,Magallanes Campus
Sorsogon State University,Main
Southern Leyte State University,Bontoc Campus
Southern Leyte State University,Hinunangan Campus
Southern Leyte State University,Maasin Campus
Southern Leyte State University,San Juan Campus
Southern Leyte State University,Tomas Oppus Campus
Southern Luzon State University,Alabat
Southern Luzon State University,Catanauan
Southern Luzon State University,Gumaca Campus
Southern Luzon State University,Infanta
Southern Luzon State University,Polilio
Southern Luzon State University,Tagkawayan
Southern Luzon State University,Tayabas
Southern Luzon State University,Tiaong Campus
Southern Luzon Technological College Foundation,Legazpi
Southern Luzon Technological College Foundation,Pilar
Southern Luzon Technological College Foundation,Pioduran
Southern Mindanao College,Agro Tech
Southern Philippines Agri,"Business, Marine and Aquatic School of Technology"
St. Anthony College,Calapan City
St. Augustine School of Nursing,Lipa
St. Ferdinand College,Ilagan
St. Ignatius Technical Institute of Business and Arts Inc.,CABUYAO
St. Ignatius Technical Institute of Business and Arts Inc.,Sta.Rosa
St. Joseph College,Olongapo
St. Louis College,Valenzuela
St. Paul Colleges Foundation,"Paniqui, Tarlac"
St. Paul University,Manila
St. Paul University,Quezon City
St. Scholastica's College,Tacloban
St. Therese-MTC Colleges,La Fiesta
St. Therese-MTC Colleges,Magdalo
St. Therese-MTC Colleges,Tigbauan
St. Thomas More College,Clark
State University of Northern Negros,Cadiz
State University of Northern Negros,Calatrava
State University of Northern Negros,Escalante
Sultan Kudarat State University,Bagumbayan
Sultan Kudarat State University,Isulan
Sultan Kudarat State University,Kalamansig
Sultan Kudarat State University,Lutayan
Sultan Kudarat State University,Palimbang
Sultan Kudarat State University,Tacurong
Surigao State College of Technology,Del Carmen
Surigao State College of Technology,Main
Surigao State College of Technology,Mainit
Surigao State College of Technology,Malimono
Systems Plus Computer College,Caloocan
Systems Plus Computer College,Quezon City
Systems Technology Institute (STI) College,Dagupan City
TAWI,TAWI CRIMINAL JUSTICE COLLEGE
Tawi,Tawi Regional Agricultural College
Technological Institute of the Philippines,Manila
Technological Institute of the Philippines,Quezon City
Technological University of the Philippines,Cavite
Technological University of the Philippines,Manila
Technological University of the Philippines,Taguig
Technological University of the Philippines,Visayas
The Philippine Women's University,Manila
UNIVERSITY OF CEBU,BANILAD
UNIVERSITY OF CEBU,"LAPULAPU AND MANDAUE, INC."
UNIVERSITY OF SAN JOSE,RECOLETOS
UNIVERSITY OF THE PHILIPPINES,CEBU
UNIVERSITY OF THE VISAYAS,DALAGUETE CAMPUS
UNIVERSITY OF THE VISAYAS,TOLEDO CITY CAMPUS
Universidad de Zamboanga,Ipil
Universidad de Zamboanga,Pagadian
University of Antique,Hamtic
University of Antique,Main
University of Antique,Tario Lim Antique School of Fisheries
University of Batangas,Lipa Campus
University of Eastern Philippines,Catubig Campus
University of Eastern Philippines,Laoang Campus
University of Negros Occidental,Recoletos
University of Nueva Caceres,Bataan
University of Perpetual Help System,"Dr. Jose G. Tamayo Medical University, Inc."
University of Perpetual Help System,GMA Campus
University of Perpetual Help System,Laguna
University of Perpetual Help System Dalta,Calamba
University of Perpetual Help System Dalta,Molino Campus
University of Rizal System,Angono
University of Rizal System,Antipolo
University of Rizal System,Binangonan
University of Rizal System,Cainta
University of Rizal System,Cardona
University of Rizal System,Morong
University of Rizal System,Pililia
University of Rizal System,Rodriguez
University of Rizal System,Taytay
University of Saint Louis,Tuguegarao
University of Santo Tomas,Legazpi
University of Science and Technology of Southern Philippines,Alubijid
University of Science and Technology of Southern Philippines,Balubal
University of Science and Technology of Southern Philippines,Cagayan de Oro
University of Science and Technology of Southern Philippines,Claveria
University of Science and Technology of Southern Philippines,Jasaan
University of Science and Technology of Southern Philippines,Oroquieta
University of Science and Technology of Southern Philippines,Panaon
University of Science and Technology of Southern Philippines,Villanueva
University of Southeastern Philippines,Mintal Campus
University of Southeastern Philippines,Obrero Campus
University of Southeastern Philippines - Tagum,Mabini Campus
University of Southern Mindanao,Kidapawan City Campus
University of Southern Mindanao,Main
